,adsh,cik,name,sic,fye,form,period,fy,fp,fs_year,fs_quarter
0,0000002178-18-000057,2178,"ADAMS RESOURCES & ENERGY, INC.",5172.0,1231.0,10-Q,20180630,2018,Q2,,
1,0000002488-18-000128,2488,ADVANCED MICRO DEVICES INC,3674.0,1231.0,10-Q,20180630,2018,Q2,,
2,0000002969-18-000034,2969,AIR PRODUCTS & CHEMICALS INC /DE/,2810.0,930.0,10-Q,20180630,2018,Q3,,
3,0000003499-18-000018,3499,ALEXANDERS INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
4,0000003545-18-000066,3545,ALICO INC,100.0,930.0,10-Q,20180630,2018,Q3,,
5,0000003570-18-000125,3570,CHENIERE ENERGY INC,4924.0,1231.0,10-Q,20180630,2018,Q2,,
6,0000004127-18-000032,4127,"SKYWORKS SOLUTIONS, INC.",3674.0,930.0,10-Q,20180630,2018,Q3,,
7,0000004281-18-000109,4281,ARCONIC INC.,3350.0,1231.0,10-Q,20180630,2018,Q2,,
8,0000004457-18-000033,4457,AMERCO /NV/,7510.0,331.0,10-Q,20180630,2018,Q1,,
9,0000004904-18-000039,4904,AMERICAN ELECTRIC POWER CO INC,4911.0,1231.0,10-Q,20180630,2018,Q2,,
10,0000004962-18-000095,4962,AMERICAN EXPRESS CO,6199.0,1231.0,10-Q,20180630,2018,Q2,,
11,0000004969-18-000018,4969,AMERICAN EXPRESS CREDIT CORP,6153.0,1231.0,10-Q,20180630,2018,Q2,,
12,0000004977-18-000114,4977,AFLAC INC,6321.0,1231.0,10-Q,20180630,2018,Q2,,
13,0000005272-18-000037,5272,AMERICAN INTERNATIONAL GROUP INC,6331.0,1231.0,10-Q,20180630,2018,Q2,,
14,0000005513-18-000073,5513,UNUM GROUP,6321.0,1231.0,10-Q,20180630,2018,Q2,,
15,0000006201-18-000027,6201,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-Q,20180630,2018,Q2,,
16,0000006281-18-000106,6281,ANALOG DEVICES INC,3674.0,1031.0,10-Q,20180731,2018,Q3,,
17,0000006845-18-000014,6845,"APOGEE ENTERPRISES, INC.",3231.0,228.0,10-Q,20180531,2018,Q1,,
18,0000006885-18-000276,6885,STAGE STORES INC,5651.0,131.0,10-Q,20180731,2018,Q2,,
19,0000006951-18-000029,6951,APPLIED MATERIALS INC /DE,3674.0,1031.0,10-Q,20180731,2018,Q3,,
20,0000006955-18-000027,6955,ACTUANT CORP,3590.0,831.0,10-Q,20180531,2018,Q3,,
21,0000007039-18-000037,7039,TRECORA RESOURCES,2911.0,1231.0,10-Q,20180630,2018,Q2,,
22,0000007084-18-000032,7084,ARCHER DANIELS MIDLAND CO,2070.0,1231.0,10-Q,20180630,2018,Q2,,
23,0000007332-18-000043,7332,SOUTHWESTERN ENERGY CO,1311.0,1231.0,10-Q,20180630,2018,Q2,,
24,0000007789-18-000040,7789,ASSOCIATED BANC-CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
25,0000008063-18-000020,8063,ASTRONICS CORP,3728.0,1231.0,10-Q,20180630,2018,Q2,,
28,0000008868-18-000043,8868,AVON PRODUCTS INC,2844.0,1231.0,10-Q,20180630,2018,Q2,,
29,0000008947-18-000108,8947,AZZ INC,3640.0,228.0,10-Q,20180531,2018,Q1,,
30,0000009092-18-000010,9092,BADGER METER INC,3824.0,1231.0,10-Q,20180630,2018,Q2,,
31,0000009346-18-000076,9346,PROTECTIVE INSURANCE CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
32,0000009984-18-000059,9984,BARNES GROUP INC,3490.0,1231.0,10-Q,20180630,2018,Q2,,
33,0000010048-18-000012,10048,BARNWELL INDUSTRIES INC,1311.0,930.0,10-Q,20180630,2018,Q3,,
34,0000010254-18-000026,10254,EARTHSTONE ENERGY INC,1311.0,1231.0,10-Q,20180630,2018,Q2,,
35,0000010795-18-000023,10795,BECTON DICKINSON & CO,3841.0,930.0,10-Q,20180630,2018,Q3,,
36,0000011199-18-000038,11199,BEMIS CO INC,2670.0,1231.0,10-Q,20180630,2018,Q2,,
37,0000011544-18-000065,11544,BERKLEY W R CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
38,0000012400-18-000013,12400,BLACK HILLS POWER INC,4911.0,1231.0,10-Q,20180630,2018,Q2,,
39,0000012927-18-000048,12927,BOEING CO,3721.0,1231.0,10-Q,20180630,2018,Q2,,
40,0000013239-18-000019,13239,HEXION INC.,2821.0,1231.0,10-Q,20180630,2018,Q2,,
42,0000014272-18-000160,14272,BRISTOL MYERS SQUIBB CO,2834.0,1231.0,10-Q,20180630,2018,Q2,,
43,0000014693-18-000165,14693,BROWN FORMAN CORP,2080.0,430.0,10-Q,20180731,2019,Q1,,
44,0000014707-18-000037,14707,CALERES INC,3140.0,131.0,10-Q,20180731,2018,Q2,,
45,0000014846-18-000033,14846,BRT APARTMENTS CORP.,6798.0,930.0,10-Q,20180630,2018,Q3,,
46,0000014930-18-000116,14930,BRUNSWICK CORP,3510.0,1231.0,10-Q,20180630,2018,Q2,,
47,0000015615-18-000027,15615,MASTEC INC,1623.0,1231.0,10-Q,20180630,2018,Q2,,
48,0000016099-18-000094,16099,LUBYS INC,5812.0,831.0,10-Q,20180531,2018,Q3,,
51,0000016875-18-000095,16875,CANADIAN PACIFIC RAILWAY LTD/CN,4011.0,1231.0,10-Q,20180630,2018,Q2,,
53,0000018172-18-000023,18172,CASTLE A M & CO,5051.0,1231.0,10-Q,20180630,2018,Q2,,
54,0000018230-18-000229,18230,CATERPILLAR INC,3531.0,1231.0,10-Q,20180630,2018,Q2,,
55,0000018255-18-000053,18255,CATO CORP,5621.0,731.0,10-Q,20180731,2018,Q2,,
56,0000018349-18-000038,18349,SYNOVUS FINANCIAL CORP,6021.0,1231.0,10-Q,20180630,2018,Q2,,
57,0000018498-18-000039,18498,GENESCO INC,5661.0,131.0,10-Q,20180731,2018,Q2,,
58,0000018926-18-000023,18926,"CENTURYLINK, INC",4813.0,1231.0,10-Q,20180630,2018,Q2,,
60,0000019612-18-000130,19612,CHEMICAL FINANCIAL CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
61,0000019617-18-000151,19617,JPMORGAN CHASE & CO,6021.0,1231.0,10-Q,20180630,2018,Q2,,
62,0000020212-18-000033,20212,CHURCHILL DOWNS INC,7948.0,1231.0,10-Q,20180630,2018,Q2,,
63,0000020286-18-000047,20286,CINCINNATI FINANCIAL CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
64,0000020520-18-000030,20520,FRONTIER COMMUNICATIONS CORP,4813.0,1231.0,10-Q,20180630,2018,Q2,,
65,0000020629-18-000057,20629,CSS INDUSTRIES INC,2771.0,331.0,10-Q,20180630,2018,Q1,,
67,0000021175-18-000089,21175,CNA FINANCIAL CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
68,0000021344-18-000032,21344,COCA COLA CO,2080.0,1231.0,10-Q,20180630,2018,Q2,,
69,0000021510-18-000020,21510,COHERENT INC,3826.0,930.0,10-Q,20180630,2018,Q3,,
70,0000021665-18-000015,21665,COLGATE PALMOLIVE CO,2844.0,1231.0,10-Q,20180630,2018,Q2,,
71,0000022356-18-000042,22356,COMMERCE BANCSHARES INC /MO/,6022.0,1231.0,10-Q,20180630,2018,Q2,,
74,0000024090-18-000020,24090,CITIZENS INC,6311.0,1231.0,10-Q,20180630,2018,Q2,,
75,0000024491-18-000017,24491,COOPER TIRE & RUBBER CO,3011.0,1231.0,10-Q,20180630,2018,Q2,,
76,0000024545-18-000026,24545,MOLSON COORS BREWING CO,2082.0,1231.0,10-Q,20180630,2018,Q2,,
77,0000024741-18-000045,24741,CORNING INC /NY,3357.0,1231.0,10-Q,20180630,2018,Q2,,
78,0000025232-18-000023,25232,COUSINS PROPERTIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
79,0000025475-18-000145,25475,CRAWFORD & CO,6411.0,1231.0,10-Q,20180630,2018,Q2,,
80,0000025598-18-000018,25598,SPRINGLEAF FINANCE CORP,6141.0,1231.0,10-Q,20180630,2018,Q2,,
82,0000026058-18-000074,26058,CTS CORP,3672.0,1231.0,10-Q,20180630,2018,Q2,,
83,0000026172-18-000039,26172,CUMMINS INC,3510.0,1231.0,10-Q,20180630,2018,Q2,,
84,0000026324-18-000013,26324,CURTISS WRIGHT CORP,3590.0,1231.0,10-Q,20180630,2018,Q2,,
85,0000026780-18-000012,26780,DANA INC,3714.0,1231.0,10-Q,20180630,2018,Q2,,
86,0000027419-18-000027,27419,TARGET CORP,5331.0,131.0,10-Q,20180731,2018,Q2,,
