MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,CPUTM,AEDAT,UPDDT,WWERT,USNAM,TCODE,BVORG,XBLNR,DBBLG,DBBLG_GJAHR,DBBLG_BUKRS,STBLG,STJAH,BKTXT,WAERS,KURSF,KZWRS,KZKRS,BSTAT,XNETB,FRATH,XRUEB,GLVOR,GRPID,DOKID,ARCID,IBLAR,AWTYP,AWKEY,FIKRS,HWAER,HWAE2,HWAE3,KURS2,KURS3,BASW2,BASW3,UMRD2,UMRD3,XSTOV,STODT,XMWST,CURT2,CURT3,KUTY2,KUTY3,XSNET,AUSBK,XUSVR,DUEFL,AWSYS,TXKRS,CTXKRS,LOTKZ,XWVOF,STGRD,PPNAM,PPDAT,PPTME,BRNCH,NUMPG,ADISC,XREF1_HD,XREF2_HD,XREVERSAL,REINDAT,RLDNR,LDGRP,PROPMANO,XBLNR_ALT,VATDATE,DOCCAT,XSPLIT,CASH_ALLOC,FOLLOW_ON,XREORG,SUBSET,KURST,KURSX,KUR2X,KUR3X
140,DE00,1500000000,2019,KZ,2/6/19,2/6/19,2,2/6/19,9:25:11,00/00/0000,00/00/0000,2/6/19,TEACH-001,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000000DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000001,2019,KZ,2/6/19,2/6/19,2,2/6/19,11:09:22,00/00/0000,00/00/0000,2/6/19,TEACH-001,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000001DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000002,2019,KZ,2/8/19,2/8/19,2,2/8/19,9:33:03,00/00/0000,00/00/0000,2/8/19,LEARN-006,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000002DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000003,2019,KZ,2/8/19,2/8/19,2,2/8/19,12:02:07,00/00/0000,00/00/0000,2/8/19,LEARN-008,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000003DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000004,2019,KZ,2/8/19,2/8/19,2,2/8/19,13:33:12,00/00/0000,00/00/0000,2/8/19,LEARN-040,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000004DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000005,2019,KZ,2/8/19,2/8/19,2,2/8/19,14:22:46,00/00/0000,00/00/0000,2/8/19,LEARN-021,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000005DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000006,2019,KZ,2/8/19,2/8/19,2,2/8/19,15:25:23,00/00/0000,00/00/0000,2/8/19,LEARN-022,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000006DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000007,2019,KZ,2/8/19,2/8/19,2,2/8/19,16:39:41,00/00/0000,00/00/0000,2/8/19,LEARN-035,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000007DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000008,2019,KZ,2/8/19,2/8/19,2,2/8/19,16:41:48,00/00/0000,00/00/0000,2/8/19,LEARN-019,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000008DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
140,DE00,1500000009,2019,KZ,2/8/19,2/8/19,2,2/8/19,18:05:00,00/00/0000,00/00/0000,2/8/19,LEARN-027,FBZ2,,,,0,,,0,,EUR,0,,0,,,0,,RFBU,,,,,BKPF,1500000009DE002019,,EUR,,,0,0,,,,,,00/00/0000,,,,,,,,,,,0,0,,,,,00/00/0000,0:00:00,,0,,,,,00/00/0000,,,,,00/00/0000,,,,,,,M,0,0,0
