MANDT,EBELN,EBELP,LOEKZ,STATU,AEDAT,TXZ01,MATNR,EMATN,BUKRS,WERKS,LGORT,BEDNR,MATKL,INFNR,IDNLF,KTMNG,MENGE,MEINS,BPRME,BPUMZ,BPUMN,UMREZ,UMREN,NETPR,PEINH,NETWR,BRTWR,AGDAT,WEBAZ,MWSKZ,BONUS,INSMK,SPINF,PRSDR,SCHPR,MAHNZ,MAHN1,MAHN2,MAHN3,UEBTO,UEBTK,UNTTO,BWTAR,BWTTY,ABSKZ,AGMEM,ELIKZ,EREKZ,PSTYP,KNTTP,KZVBR,VRTKZ,TWRKZ,WEPOS,WEUNB,REPOS,WEBRE,KZABS,LABNR,KONNR,KTPNR,ABDAT,ABFTZ,ETFZ1,ETFZ2,KZSTU,NOTKZ,LMEIN,EVERS,ZWERT,NAVNW,ABMNG,PRDAT,BSTYP,EFFWR,XOBLR,KUNNR,ADRNR,EKKOL,SKTOF,STAFO,PLIFZ,NTGEW,GEWEI,TXJCD,ETDRK,SOBKZ,ARSNR,ARSPS,INSNC,SSQSS,ZGTYP,EAN11,BSTAE,REVLV,GEBER
140,4500000000,10,,,5/30/16,Off Road Helmet,OHMT1999,OHMT1999,US00,MI00,,,SFTY,5300000000,,0,60,EA,EA,1,1,1,1,25,1,"1,500.00","1,500.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,5/9/16,F,"1,500.00",,,,,,SAP,1,15,OZ,,,,0,0,,,,,,,
140,4500000000,20,,,5/30/16,Road Helmet,RHMT1999,RHMT1999,US00,MI00,,,SFTY,5300000001,,0,150,EA,EA,1,1,1,1,25,1,"3,750.00","3,750.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,5/9/16,F,"3,750.00",,,,,,SAP,1,10,OZ,,,,0,0,,,,,,,
140,4500000001,10,,,1/18/19,Off Road Helmet,OHMT1000,OHMT1000,US00,MI00,,,SFTY,5300000010,,0,10,EA,EA,1,1,1,1,25,1,250,250,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,250,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000002,10,,,1/18/19,Off Road Helmet,OHMT1002,OHMT1002,US00,MI00,,,SFTY,5300000011,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000003,10,,,1/18/19,Off Road Helmet,OHMT1000,OHMT1000,US00,MI00,,,SFTY,5300000012,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000004,10,,,1/18/19,Off Road Helmet,OHMT1028,OHMT1028,US00,MI00,,,SFTY,5300000013,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000005,10,,,1/18/19,Off Road Helmet,OHMT1014,OHMT1014,US00,MI00,,,SFTY,5300000014,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000006,10,,,1/18/19,Off Road Helmet,OHMT1020,OHMT1020,US00,MI00,,,SFTY,5300000015,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000007,10,,,1/18/19,Off Road Helmet,OHMT1004,OHMT1004,US00,MI00,,,SFTY,5300000016,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000008,10,,,1/18/19,Off Road Helmet,OHMT1000,OHMT1000,US00,MI00,,,SFTY,5300000017,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
