adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote,fs_year,fs_quarter
0001104659-14-083669,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140331,0,USD,-85802000.0,,2014,4
0001104659-14-083669,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140930,0,USD,-84347000.0,,2014,4
0001104659-14-081027,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140331,0,USD,-85802000.0,,2014,4
0001104659-14-081027,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140630,0,USD,-84701000.0,,2014,4
0001047469-14-009167,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20130331,0,USD,-95129000.0,,2014,4
0001047469-14-009167,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,,20140331,0,USD,-85802000.0,,2014,4
0001104659-14-081027,AdditionalPaidInCapitalCommonStock,us-gaap/2013,,20140630,0,USD,4416000.0,,2014,4
0001104659-14-083669,AdditionalPaidInCapitalCommonStock,us-gaap/2013,,20140930,0,USD,6478000.0,,2014,4
0001047469-14-009167,Assets,us-gaap/2013,,20140331,0,USD,1451390000.0,,2014,4
0001047469-14-009167,Assets,us-gaap/2013,,20130331,0,USD,1382333000.0,,2014,4
0001104659-14-081027,Assets,us-gaap/2013,,20140630,0,USD,1515477000.0,,2014,4
0001104659-14-081027,Assets,us-gaap/2013,,20140331,0,USD,1451390000.0,,2014,4
0001104659-14-083669,Assets,us-gaap/2013,,20140331,0,USD,1451390000.0,,2014,4
0001104659-14-083669,Assets,us-gaap/2013,,20140930,0,USD,1573510000.0,,2014,4
0001104659-14-083669,CommitmentsAndContingencies,us-gaap/2013,,20140331,0,USD,,,2014,4
0001104659-14-083669,CommitmentsAndContingencies,us-gaap/2013,,20140930,0,USD,,,2014,4
0001104659-14-081027,CommitmentsAndContingencies,us-gaap/2013,,20140630,0,USD,,,2014,4
0001104659-14-081027,CommitmentsAndContingencies,us-gaap/2013,,20140331,0,USD,,,2014,4
0001047469-14-009167,CommitmentsAndContingencies,us-gaap/2013,,20130331,0,USD,,,2014,4
0001047469-14-009167,CommitmentsAndContingencies,us-gaap/2013,,20140331,0,USD,,,2014,4
0001104659-14-083669,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140331,0,CHF,0.25,,2014,4
0001104659-14-083669,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140930,0,CHF,0.25,,2014,4
0001104659-14-081027,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140331,0,CHF,0.25,,2014,4
0001104659-14-081027,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140630,0,CHF,0.25,,2014,4
0001047469-14-009167,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20140331,0,CHF,0.25,,2014,4
0001047469-14-009167,CommonStockParOrStatedValuePerShare,us-gaap/2013,,20130331,0,CHF,0.25,,2014,4
0001047469-14-009167,CommonStockSharesAuthorized,us-gaap/2013,,20130331,0,shares,173106000.0,,2014,4
0001047469-14-009167,CommonStockSharesAuthorized,us-gaap/2013,,20140331,0,shares,173106000.0,,2014,4
0001104659-14-081027,CommonStockSharesAuthorized,us-gaap/2013,,20140331,0,shares,173106000.0,,2014,4
0001104659-14-081027,CommonStockSharesAuthorized,us-gaap/2013,,20140630,0,shares,173106000.0,,2014,4
0001104659-14-083669,CommonStockSharesAuthorized,us-gaap/2013,,20140331,0,shares,173106000.0,,2014,4
0001104659-14-083669,CommonStockSharesAuthorized,us-gaap/2013,,20140930,0,shares,173106000.0,,2014,4
0001104659-14-083669,CommonStockSharesIssued,us-gaap/2013,,20140331,0,shares,173106000.0,,2014,4
0001104659-14-083669,CommonStockSharesIssued,us-gaap/2013,,20140930,0,shares,173106000.0,,2014,4
0001104659-14-081027,CommonStockSharesIssued,us-gaap/2013,,20140331,0,shares,173106000.0,,2014,4
0001104659-14-081027,CommonStockSharesIssued,us-gaap/2013,,20140630,0,shares,173106000.0,,2014,4
0001047469-14-009167,CommonStockSharesIssued,us-gaap/2013,,20120930,0,shares,191600000.0,,2014,4
0001047469-14-009167,CommonStockSharesIssued,us-gaap/2013,,20140331,0,shares,173106000.0,,2014,4
0001047469-14-009167,CommonStockSharesIssued,us-gaap/2013,,20130331,0,shares,173106000.0,,2014,4
0001104659-14-083669,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130930,2,USD,18282000.0,,2014,4
0001104659-14-083669,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130930,1,USD,15342000.0,,2014,4
0001104659-14-083669,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140930,2,USD,57221000.0,,2014,4
0001104659-14-083669,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140930,1,USD,36444000.0,,2014,4
0001104659-14-081027,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140630,1,USD,20777000.0,,2014,4
0001104659-14-081027,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130630,1,USD,2940000.0,,2014,4
0001047469-14-009167,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20140331,4,USD,83631000.0,,2014,4
0001047469-14-009167,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20130331,4,USD,-226170000.0,,2014,4
0001047469-14-009167,ComprehensiveIncomeNetOfTax,us-gaap/2013,,20120331,4,USD,86807000.0,,2014,4
0001104659-14-083669,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20130930,2,USD,-3901000.0,,2014,4
0001104659-14-083669,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20140930,2,USD,-2358000.0,,2014,4
0001104659-14-081027,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20140630,1,USD,-1832000.0,,2014,4
0001104659-14-081027,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20130630,1,USD,-3416000.0,,2014,4
0001047469-14-009167,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20140331,4,USD,-4828000.0,,2014,4
0001047469-14-009167,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20130331,4,USD,-3209000.0,,2014,4
0001047469-14-009167,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,,20120331,4,USD,-2249000.0,,2014,4
0001104659-14-083669,EarningsPerShareBasic,us-gaap/2013,,20130930,2,USD,0.1,,2014,4
0001104659-14-083669,EarningsPerShareBasic,us-gaap/2013,,20130930,1,USD,0.09,,2014,4
0001104659-14-083669,EarningsPerShareBasic,us-gaap/2013,,20140930,2,USD,0.34,,2014,4
0001104659-14-083669,EarningsPerShareBasic,us-gaap/2013,,20140930,1,USD,0.22,,2014,4
0001047469-14-009167,EarningsPerShareBasic,us-gaap/2013,,20130331,4,USD,-1.44,,2014,4
0001047469-14-009167,EarningsPerShareBasic,us-gaap/2013,,20120331,4,USD,0.6,,2014,4
0001047469-14-009167,EarningsPerShareBasic,us-gaap/2013,,20140331,4,USD,0.46,,2014,4
0001104659-14-081027,EarningsPerShareBasic,us-gaap/2013,,20140630,1,USD,0.12,,2014,4
0001104659-14-081027,EarningsPerShareBasic,us-gaap/2013,,20130630,1,USD,0.01,,2014,4
0001104659-14-081027,EarningsPerShareDiluted,us-gaap/2013,,20140630,1,USD,0.12,,2014,4
0001104659-14-081027,EarningsPerShareDiluted,us-gaap/2013,,20130630,1,USD,0.01,,2014,4
0001047469-14-009167,EarningsPerShareDiluted,us-gaap/2013,,20130331,4,USD,-1.44,,2014,4
0001047469-14-009167,EarningsPerShareDiluted,us-gaap/2013,,20120331,4,USD,0.59,,2014,4
0001047469-14-009167,EarningsPerShareDiluted,us-gaap/2013,,20140331,4,USD,0.46,,2014,4
