adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001047469-14-009167,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-K,20140331,2013.0,FY,20141113,2014-11-13 16:44:00.0,0,1,logi-20140331.xml,1,,2014,4
0001104659-14-081027,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20140630,2014.0,Q1,20141114,2014-11-14 17:08:00.0,0,1,logi-20140630.xml,1,,2014,4
0001104659-14-083669,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20140930,2014.0,Q2,20141126,2014-11-26 16:47:00.0,0,1,logi-20140930.xml,1,,2014,4
0001032975-18-000007,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20171231,2017.0,Q3,20180125,2018-01-25 17:18:00.0,0,1,logi-20171231.xml,1,,2018,1
0001104659-12-006942,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20111231,2011.0,Q3,20120206,2012-02-06 17:05:00.0,0,1,logi-20111231.xml,1,,2012,1
0001032975-16-000068,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20151231,2015.0,Q3,20160122,2016-01-22 16:28:00.0,0,1,logi-20151231.xml,1,,2016,1
0001032975-10-000019,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-Q/A,20100630,2010.0,Q1,20100825,2010-08-25 16:34:00.0,0,0,logi-20100630.xml,1,,2010,3
0001032975-10-000034,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-Q,20100930,2010.0,Q2,20101108,2010-11-08 17:31:00.0,0,0,logi-20100930.xml,1,,2010,4
0001047469-13-006614,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-K,20130331,2012.0,FY,20130530,2013-05-30 17:15:00.0,1,1,logi-20130331.xml,1,,2013,2
0001193125-11-025852,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-Q,20101231,2010.0,Q3,20110207,2011-02-07 16:33:00.0,0,0,logi-20101231.xml,1,,2011,1
