MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,AEDAT,USNAM,TCODE,XBLNR,BKTXT,FRATH,FRBNR,WEVER,XABLN,AWSYS,BLA2D,TCODE2,BFWMS,EXNUM,SPE_BUDAT_UHR,SPE_BUDAT_ZONE,LE_VBELN,SPE_LOGSYS,SPE_MDNUM_EWM,GTS_CUSREF_NO,FLS_RSTO,MSR_ACTIVE,KNUMV,XCOMPL
140,4900000000,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,12:59:30,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000001,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:01:56,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000002,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:01:59,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000003,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:02,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000004,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:05,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000005,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:09,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000006,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:12,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000007,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:15,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000008,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:18,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000009,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:22,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000010,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:25,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000011,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:28,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000012,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:31,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000013,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:35,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000014,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000015,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:41,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000016,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:44,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000017,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:48,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000018,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:52,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000019,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:55,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000020,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:02:58,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000021,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:01,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000022,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:05,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000023,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:08,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000024,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:11,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000025,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:15,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000026,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:18,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000027,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:21,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000028,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:24,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000029,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:28,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000030,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:31,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000031,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:34,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000032,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000033,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:41,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000034,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:44,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000035,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:47,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000036,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:50,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000037,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:53,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000038,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:03:57,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000039,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:00,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000040,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:03,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000041,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:06,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000042,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:10,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000043,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:13,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000044,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:16,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000045,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:19,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000046,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:23,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000047,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:26,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000048,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:29,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000049,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:32,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000050,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000051,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:39,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000052,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:04:42,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB11,,,0:00:00,,,,,,,,,
140,4900000053,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:13:58,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000054,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000055,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000056,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000057,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000058,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000059,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:36,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000060,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000061,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000062,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000063,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000064,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000065,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000066,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000067,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000068,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000069,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000070,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000071,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000072,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:37,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000073,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000074,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000075,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000076,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000077,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000078,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000079,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000080,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000081,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000082,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000083,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000084,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000085,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000086,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:38,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000087,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:39,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000088,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:39,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
140,4900000089,2016,WA,WA,PR,5/27/16,5/27/16,5/27/16,13:14:39,00/00/0000,BOETTCHER,,,,0,,2,,HELCLNT140,,MB1C,,,0:00:00,,,,,,,,,
