adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote,fs_year,fs_quarter
0001193125-18-054078,EntityPublicFloat,dei/2014,,20170630,0,USD,260362764.0,,2018,1
0001193125-18-054078,EntityCommonStockSharesOutstanding,dei/2014,,20180131,0,shares,34203058.0,,2018,1
0001193125-18-054078,AccountsPayableOtherCurrent,us-gaap/2017,,20161231,0,USD,12272000.0,,2018,1
0001193125-18-054078,AccountsPayableOtherCurrent,us-gaap/2017,,20171231,0,USD,10261000.0,,2018,1
0001193125-18-054078,AccountsPayableTradeCurrent,us-gaap/2017,,20161231,0,USD,51509000.0,,2018,1
0001193125-18-054078,AccountsPayableTradeCurrent,us-gaap/2017,,20171231,0,USD,65940000.0,,2018,1
0001193125-18-054078,AccountsReceivableGross,us-gaap/2017,,20161231,0,USD,63116000.0,,2018,1
0001193125-18-054078,AccountsReceivableGross,us-gaap/2017,,20171231,0,USD,86167000.0,,2018,1
0001193125-18-054078,AccountsReceivableNetCurrent,us-gaap/2017,,20161231,0,USD,61775000.0,,2018,1
0001193125-18-054078,AccountsReceivableNetCurrent,us-gaap/2017,,20171231,0,USD,92026000.0,,2018,1
0001193125-18-054078,AccruedLiabilitiesCurrent,us-gaap/2017,,20161231,0,USD,60365000.0,,2018,1
0001193125-18-054078,AccruedLiabilitiesCurrent,us-gaap/2017,,20171231,0,USD,51746000.0,,2018,1
0001193125-18-054078,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2017,,20161231,0,USD,184521000.0,,2018,1
0001193125-18-054078,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2017,,20171231,0,USD,231356000.0,,2018,1
0001193125-18-054078,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,us-gaap/2017,,20161231,0,USD,-436000.0,,2018,1
0001193125-18-054078,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,us-gaap/2017,,20171231,0,USD,5299000.0,,2018,1
0001193125-18-054078,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,us-gaap/2017,,20161231,0,USD,14460000.0,,2018,1
0001193125-18-054078,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,us-gaap/2017,,20171231,0,USD,-38413000.0,,2018,1
0001193125-18-054078,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2017,,20161231,0,USD,14024000.0,,2018,1
0001193125-18-054078,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2017,,20171231,0,USD,-33114000.0,,2018,1
0001193125-18-054078,AdditionalPaidInCapitalCommonStock,us-gaap/2017,,20161231,0,USD,130189000.0,,2018,1
0001193125-18-054078,AdditionalPaidInCapitalCommonStock,us-gaap/2017,,20171231,0,USD,136259000.0,,2018,1
0001193125-18-054078,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2017,,20151231,4,USD,2768000.0,,2018,1
0001193125-18-054078,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2017,,20161231,4,USD,3843000.0,,2018,1
0001193125-18-054078,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2017,,20171231,4,USD,2336000.0,,2018,1
0001193125-18-054078,AdvertisingExpense,us-gaap/2017,,20151231,4,USD,144000.0,,2018,1
0001193125-18-054078,AdvertisingExpense,us-gaap/2017,,20161231,4,USD,149000.0,,2018,1
0001193125-18-054078,AdvertisingExpense,us-gaap/2017,,20171231,4,USD,95000.0,,2018,1
0001193125-18-054078,AllowanceForDoubtfulAccountsReceivable,us-gaap/2017,,20141231,0,USD,263000.0,,2018,1
0001193125-18-054078,AllowanceForDoubtfulAccountsReceivable,us-gaap/2017,,20151231,0,USD,236000.0,,2018,1
0001193125-18-054078,AllowanceForDoubtfulAccountsReceivable,us-gaap/2017,,20161231,0,USD,83000.0,,2018,1
0001193125-18-054078,AllowanceForDoubtfulAccountsReceivable,us-gaap/2017,,20171231,0,USD,94000.0,,2018,1
0001193125-18-054078,AmortizationOfFinancingCostsAndDiscounts,us-gaap/2017,,20151231,4,USD,660000.0,,2018,1
0001193125-18-054078,AmortizationOfFinancingCostsAndDiscounts,us-gaap/2017,,20161231,4,USD,707000.0,,2018,1
0001193125-18-054078,AmortizationOfFinancingCostsAndDiscounts,us-gaap/2017,,20171231,4,USD,1987000.0,,2018,1
0001193125-18-054078,AmortizationOfIntangibleAssets,us-gaap/2017,,20161231,4,USD,475000.0,,2018,1
0001193125-18-054078,AmortizationOfIntangibleAssets,us-gaap/2017,,20171231,4,USD,648000.0,,2018,1
0001193125-18-054078,Assets,us-gaap/2017,,20161231,0,USD,441952000.0,,2018,1
0001193125-18-054078,Assets,us-gaap/2017,,20171231,0,USD,558789000.0,,2018,1
0001193125-18-054078,AssetsCurrent,us-gaap/2017,,20161231,0,USD,242693000.0,,2018,1
0001193125-18-054078,AssetsCurrent,us-gaap/2017,,20171231,0,USD,330260000.0,,2018,1
0001193125-18-054078,CapitalExpendituresIncurredButNotYetPaid,us-gaap/2017,,20151231,4,USD,3348000.0,,2018,1
0001193125-18-054078,CapitalExpendituresIncurredButNotYetPaid,us-gaap/2017,,20161231,4,USD,3091000.0,,2018,1
0001193125-18-054078,CapitalExpendituresIncurredButNotYetPaid,us-gaap/2017,,20171231,4,USD,2520000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsAtCarryingValue,us-gaap/2017,,20141231,0,USD,102434000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsAtCarryingValue,us-gaap/2017,,20151231,0,USD,90882000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsAtCarryingValue,us-gaap/2017,,20161231,0,USD,83355000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsAtCarryingValue,us-gaap/2017,,20171231,0,USD,128575000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2017,,20151231,4,USD,-11552000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2017,,20161231,4,USD,-7527000.0,,2018,1
0001193125-18-054078,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2017,,20171231,4,USD,45220000.0,,2018,1
0001193125-18-054078,CommitmentsAndContingencies,us-gaap/2017,,20161231,0,USD,,,2018,1
0001193125-18-054078,CommitmentsAndContingencies,us-gaap/2017,,20171231,0,USD,,,2018,1
0001193125-18-054078,CommonStockParOrStatedValuePerShare,us-gaap/2017,,20161231,0,USD,0.01,,2018,1
0001193125-18-054078,CommonStockParOrStatedValuePerShare,us-gaap/2017,,20171231,0,USD,0.01,,2018,1
0001193125-18-054078,CommonStockSharesAuthorized,us-gaap/2017,,20161231,0,shares,150000000.0,,2018,1
0001193125-18-054078,CommonStockSharesAuthorized,us-gaap/2017,,20171231,0,shares,150000000.0,,2018,1
0001193125-18-054078,CommonStockSharesIssued,us-gaap/2017,,20161231,0,shares,41627103.0,,2018,1
0001193125-18-054078,CommonStockSharesIssued,us-gaap/2017,,20171231,0,shares,42563808.0,,2018,1
0001193125-18-054078,CommonStockSharesOutstanding,us-gaap/2017,,20161231,0,shares,35048338.0,,2018,1
0001193125-18-054078,CommonStockSharesOutstanding,us-gaap/2017,,20171231,0,shares,34189599.0,,2018,1
0001193125-18-054078,CommonStockValue,us-gaap/2017,,20161231,0,USD,416000.0,,2018,1
0001193125-18-054078,CommonStockValue,us-gaap/2017,,20171231,0,USD,426000.0,,2018,1
0001193125-18-054078,ComprehensiveIncomeNetOfTax,us-gaap/2017,,20151231,4,USD,-50032000.0,,2018,1
0001193125-18-054078,ComprehensiveIncomeNetOfTax,us-gaap/2017,,20161231,4,USD,-15360000.0,,2018,1
0001193125-18-054078,ComprehensiveIncomeNetOfTax,us-gaap/2017,,20171231,4,USD,37798000.0,,2018,1
0001193125-18-054078,CostOfRevenue,us-gaap/2017,,20151231,4,USD,498848000.0,,2018,1
0001193125-18-054078,CostOfRevenue,us-gaap/2017,,20161231,4,USD,531743000.0,,2018,1
0001193125-18-054078,CostOfRevenue,us-gaap/2017,,20171231,4,USD,491779000.0,,2018,1
0001193125-18-054078,CurrentFederalTaxExpenseBenefit,us-gaap/2017,,20151231,4,USD,25000.0,,2018,1
0001193125-18-054078,CurrentFederalTaxExpenseBenefit,us-gaap/2017,,20161231,4,USD,-6000.0,,2018,1
0001193125-18-054078,CurrentFederalTaxExpenseBenefit,us-gaap/2017,,20171231,4,USD,-359000.0,,2018,1
0001193125-18-054078,CurrentForeignTaxExpenseBenefit,us-gaap/2017,,20151231,4,USD,-14301000.0,,2018,1
0001193125-18-054078,CurrentForeignTaxExpenseBenefit,us-gaap/2017,,20161231,4,USD,3386000.0,,2018,1
0001193125-18-054078,CurrentForeignTaxExpenseBenefit,us-gaap/2017,,20171231,4,USD,3680000.0,,2018,1
0001193125-18-054078,CurrentIncomeTaxExpenseBenefit,us-gaap/2017,,20151231,4,USD,-15486000.0,,2018,1
0001193125-18-054078,CurrentIncomeTaxExpenseBenefit,us-gaap/2017,,20161231,4,USD,3731000.0,,2018,1
0001193125-18-054078,CurrentIncomeTaxExpenseBenefit,us-gaap/2017,,20171231,4,USD,1210000.0,,2018,1
0001193125-18-054078,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,us-gaap/2017,,20161231,0,USD,3918000.0,,2018,1
0001193125-18-054078,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,us-gaap/2017,,20171231,0,USD,7834000.0,,2018,1
0001193125-18-054078,DeferredForeignIncomeTaxExpenseBenefit,us-gaap/2017,,20151231,4,USD,399000.0,,2018,1
0001193125-18-054078,DeferredForeignIncomeTaxExpenseBenefit,us-gaap/2017,,20161231,4,USD,13000.0,,2018,1
0001193125-18-054078,DeferredForeignIncomeTaxExpenseBenefit,us-gaap/2017,,20171231,4,USD,-55000.0,,2018,1
0001193125-18-054078,DeferredIncomeTaxLiabilities,us-gaap/2017,,20161231,0,USD,16392000.0,,2018,1
0001193125-18-054078,DeferredIncomeTaxLiabilities,us-gaap/2017,,20171231,0,USD,19794000.0,,2018,1
0001193125-18-054078,DeferredRevenueCurrent,us-gaap/2017,,20161231,0,USD,11092000.0,,2018,1
0001193125-18-054078,DeferredRevenueCurrent,us-gaap/2017,,20171231,0,USD,8335000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsDerivativeInstruments,us-gaap/2017,,20161231,0,USD,110000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap/2017,,20161231,0,USD,103000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap/2017,,20171231,0,USD,35000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsGross,us-gaap/2017,,20161231,0,USD,298048000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsGross,us-gaap/2017,,20171231,0,USD,271190000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsInventory,us-gaap/2017,,20161231,0,USD,1822000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsInventory,us-gaap/2017,,20171231,0,USD,1630000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsLiabilitiesNet,us-gaap/2017,,20151231,0,USD,171000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsLiabilitiesNet,us-gaap/2017,,20161231,0,USD,183000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsLiabilitiesNet,us-gaap/2017,,20171231,0,USD,264000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsLiabilitiesNetCurrent,us-gaap/2017,,20161231,0,USD,37000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsLiabilitiesNetNoncurrent,us-gaap/2017,,20161231,0,USD,193000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsLiabilitiesNetNoncurrent,us-gaap/2017,,20171231,0,USD,264000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsNet,us-gaap/2017,,20161231,0,USD,16575000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsNet,us-gaap/2017,,20171231,0,USD,20058000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsOperatingLossCarryforwards,us-gaap/2017,,20161231,0,USD,167590000.0,,2018,1
0001193125-18-054078,DeferredTaxAssetsOperatingLossCarryforwards,us-gaap/2017,,20171231,0,USD,175543000.0,,2018,1
