adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001193125-18-054078,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20171231,2017.0,FY,20180222,2018-02-22 16:18:00.0,0,1,mx-20171231.xml,1,,2018,1
0001193125-12-102315,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-K,20111231,2011.0,FY,20120308,2012-03-08 06:55:00.0,0,0,mx-20111231.xml,1,,2012,1
0001193125-16-470674,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20151231,2015.0,FY,20160222,2016-02-22 06:14:00.0,0,1,mx-20151231.xml,1,,2016,1
0001193125-13-197418,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20130331,2013.0,Q1,20130503,2013-05-03 06:28:00.0,0,1,mx-20130331.xml,1,,2013,2
0001193125-17-248789,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20170630,2017.0,Q2,20170804,2017-08-04 16:32:00.0,0,1,mx-20170630.xml,1,,2017,3
0001193125-17-336422,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20170930,2017.0,Q3,20171108,2017-11-08 06:19:00.0,0,1,mx-20170930.xml,1,,2017,4
0001193125-13-318094,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20130630,2013.0,Q2,20130805,2013-08-05 06:07:00.0,0,1,mx-20130630.xml,1,,2013,3
0001193125-13-433908,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20130930,2013.0,Q3,20131108,2013-11-08 06:17:00.0,0,1,mx-20130930.xml,1,,2013,4
0001193125-15-046730,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20131231,2013.0,FY,20150212,2015-02-12 16:12:00.0,0,1,mx-20131231.xml,1,,2015,1
0001193125-15-046744,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20140331,2014.0,Q1,20150212,2015-02-12 16:14:00.0,0,1,mx-20140331.xml,1,,2015,1
