CLIENT,KNUMV,KPOSN,STUNR,ZAEHK,KAPPL,KSCHL,KDATU,KRECH,KAWRT,KBETR,WAERS,KKURS,KPEIN,KMEIN,KUMZA,KUMNE,KNTYP,KSTAT,KNPRS,KRUEK,KRELI,KHERK,KGRPE,KOLNR,KNUMH,KOPOS,KVSL1,SAKN1,MWSK1,KVSL2,SAKN2,MWSK2,LIFNR,KDIFF,KWERT,WAERK,KSTEU,KINAK,KOAID,ZAEKO,KFAKTOR,KDUPL,KFAKTOR1,KZBZG,KSTBS,KONMS,KONWS,KWAEH,KWERT_K,KFKIV,KMPRS,PRSQU,TXJLV,KBFLAG,KOUPD,KMXAW,KMXWR,KAWRT_K,KUNNR,KVARC,VARCOND,KTREL,MDFLG,_DATAAGING,CPF_GUID,KAQTY,VAL_ZERO
140,1,10,11,1,V,PR00,2.01605E+13,C,2,"3,000.00",USD,1,1,EA,1,1,,,,,,A,,40,54087,1,ERL,,,,,,,0,"6,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,100,,,,0,,,,,,00/00/0000,,0,
140,1,10,930,1,V,SKTO,2.01605E+13,A,"6,000.00",0,,0,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1,10,940,1,V,VPRS,2.01605E+13,C,2,"1,400.00",USD,1,1,EA,1,1,G,X,,,,A,,0,,0,,,,,,,,0,"2,800.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,USD,"2,800.00",,,,,0,,,,0,,,,,,00/00/0000,,0,
140,2,10,11,1,V,PR00,2.01605E+13,C,5,"3,000.00",USD,1,1,EA,1,1,,,,,,A,,40,54086,1,ERL,,,,,,,0,"15,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,100,,,,0,,,,,,00/00/0000,,0,
140,2,10,930,1,V,SKTO,2.01605E+13,A,"15,000.00",0,,0,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,2,10,940,1,V,VPRS,2.01605E+13,C,5,"1,400.00",USD,1,1,EA,1,1,G,X,,,,A,,0,,0,,,,,,,,0,"7,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,USD,"7,000.00",,,,,0,,,,0,,,,,,00/00/0000,,0,
140,3,10,11,1,V,PR00,2.01605E+13,C,8,"3,000.00",USD,1,1,EA,1,1,,,,,,A,,40,54085,1,ERL,,,,,,,0,"24,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,100,,,,0,,,,,,00/00/0000,,0,
140,3,10,930,1,V,SKTO,2.01605E+13,A,"24,000.00",0,,0,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,3,10,940,1,V,VPRS,2.01605E+13,C,8,"1,400.00",USD,1,1,EA,1,1,G,X,,,,A,,0,,0,,,,,,,,0,"11,200.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,USD,"11,200.00",,,,,0,,,,0,,,,,,00/00/0000,,0,
140,7,10,11,1,V,PR00,2.01605E+13,C,8,"3,000.00",USD,1,1,EA,1,1,,,,,,A,,40,54085,1,ERL,600000,,,,,,0,"24,000.00",2,D,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,100,,,,0,,,,,,00/00/0000,,0,
140,7,10,930,1,V,SKTO,2.01605E+13,A,"24,000.00",0,,0,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,7,10,940,1,V,VPRS,2.01605E+13,C,8,"1,400.00",USD,1,1,EA,1,1,G,X,,,,A,,0,,0,,,,,,,,0,"11,200.00",2,H,,B,0,0.00E+00,,0.00E+00,,0,,,USD,"11,200.00",,,,,0,,,,0,,,,,,00/00/0000,,0,
140,8,10,11,1,V,PR00,2.01605E+13,C,5,"3,000.00",USD,1,1,EA,1,1,,,,,,A,,40,54086,1,ERL,600000,,,,,,0,"15,000.00",2,D,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,100,,,,0,,,,,,00/00/0000,,0,
